Ticker,Short Name,Market Cap,Sector,Industry,PE Ratio,Dividend Yield,Forward P/E Ratio,50日均差%,200日均差%,CurrentY成長,NextY成長,CurrentQ成長,NextQ成長,stock,ethnic_group
ALL,Allstate Corporation (The),58030899200,financial-services,insurance-property-casualty,4.596435,0.017129209,8.304241,-0.110450596,0.025459576,0.0124,-0.2163,-0.426,-0.3607,,
ALLE,Allegion plc,13091412992,industrials,security-protection-services,20.22996,0.014006342,15.752131,-0.010816512,0.022335654,0.1003,0.0912,0.0851,0.1665,,
AMAT,"Applied Materials, Inc.",374943055872,technology,semiconductor-equipment-materials,40.69423,0.0042650355,25.60094,-0.051957157,0.13229786,0.35819998,0.4424,0.8711,0.76379997,,
AMCR,Amcor plc,19991828480,consumer-cyclical,packaging-containers,18.168068,0.061684456,9.925013,-0.042362817,0.011191153,0.1341,0.0791,,,,
AMD,"Advanced Micro Devices, Inc.",1018288996352,technology,semiconductors,158.31726,0.0,40.060524,0.25507146,0.74908984,0.8167,1.0553,0.6048,0.7332,,
AME,"AMETEK, Inc.",56263004160,industrials,specialty-industrial-machinery,35.82628,0.005389048,25.603495,0.01616102,0.07601681,0.1223,0.1494,0.11229999,0.0836,,
AMGN,Amgen Inc.,221788864512,healthcare,drug-manufacturers-general,25.44913,0.02492624,16.81153,0.023379758,0.13759038,0.055,0.059,0.025,0.0968,,
AMP,"Ameriprise Financial, Inc.",45259288576,financial-services,asset-management,12.373098,0.012133204,9.916494,-0.06622811,0.040171336,0.1842,0.1105,0.195,0.1458,,
AMT,American Tower Corporation (REI,81659502592,real-estate,reit-specialty,24.139118,0.03997709,24.999859,0.013346669,-0.012450491,0.2932,0.0038,-0.1008,-0.051799998,,
AMZN,"Amazon.com, Inc.",2750293999616,consumer-cyclical,internet-retail,20.513273,0.0,24.544542,-0.004381044,0.060556706,0.796,-0.186,-0.0019,0.2502,,
ANET,"Arista Networks, Inc.",258790703104,technology,computer-hardware,64.93354,0.0,39.55531,0.092024,0.31950906,0.3799,0.2615,0.4354,0.4,,
AON,Aon plc,60689088512,financial-services,insurance-brokers,15.763086,0.010504779,14.107523,-0.16887975,-0.14587723,0.0987,0.0813,0.1021,0.05,,
AOS,A.O. Smith Corporation,7904442880,industrials,specialty-industrial-machinery,16.200558,0.024929775,14.23289,-0.03886513,-0.10273012,-0.0287,0.0928,-0.0452,0.0696,,
APA,APA Corporation,14819868672,energy,oil-gas-e-p,8.924051,0.022825839,9.462664,0.052427318,0.2227607,0.6412,-0.2775,0.4702,0.57919997,,
APD,"Air Products and Chemicals, Inc",64102256640,basic-materials,specialty-chemicals,0.0,0.025763974,19.939238,-0.036123466,0.013110967,0.1184,0.0731,0.0653,0.0995,,
APH,Amphenol Corporation,204280692736,technology,electronic-components,41.42,0.005682735,25.267344,0.03579511,0.12809622,0.5989,0.22780001,0.5529,0.5274,,
APO,"Apollo Global Management, Inc. ",73315934208,financial-services,asset-management,44.181496,0.016769603,11.564166,-0.03612339,-0.027729848,0.046,0.22479999,0.042,-0.0094,,
APP,Applovin Corporation,110433402880,communication-services,advertising-agencies,25.267487,0.0,15.668143,-0.07048355,-0.30604178,0.6067,0.2769,0.6448,0.38369998,,
APTV,Aptiv PLC,9262523392,consumer-cyclical,auto-parts,20.18552,0.0,6.814828,-0.11151385,-0.3119245,-0.26770002,0.1432,-0.38759997,-0.1249,,
ARE,Alexandria Real Estate Equities,9267331072,real-estate,reit-office,0.0,0.06524184,-66.481476,0.056665495,0.07363413,1.1732,,-1.0,,,
ARES,Ares Management Corporation,41379094528,financial-services,asset-management,57.211006,0.038998976,17.338428,-0.06719039,-0.056189388,0.22610001,0.2325,0.088199995,0.3778,,
ATO,Atmos Energy Corporation,26588659712,utilities,utilities-regulated-gas,18.753277,0.024451885,17.44222,-0.07693248,-0.10103243,0.1342,0.066199996,0.071100004,0.0766,,
AVB,"AvalonBay Communities, Inc.",26283393024,real-estate,reit-residential,25.248285,0.038357057,36.584446,0.0,0.0,-0.08229999,0.0942,-0.15619999,0.1004,,
AVGO,Broadcom Inc.,1740179111936,technology,semiconductors,46.556835,0.007169249,18.80632,-0.03817586,-0.012092744,0.7093,0.6628,0.9619,0.9881,,
AVY,Avery Dennison Corporation,13042381824,consumer-cyclical,packaging-containers,18.828226,0.0225595,15.384078,0.0033360345,-0.005779971,0.0688,0.09819999,-0.016900001,0.016,,
AWK,"American Water Works Company, I",26593914880,utilities,utilities-regulated-water,23.192375,0.0252146,20.381216,-0.017455515,0.014333164,0.0789,0.0791,0.0714,0.1408,,
AXON,"Axon Enterprise, Inc.",37313970176,industrials,aerospace-defense,191.38333,0.0,43.529724,-0.1591097,-0.08606926,0.1196,0.3758,0.6758,0.060700003,,
AXP,American Express Company,206016774144,financial-services,credit-services,18.500303,0.011288625,15.132997,-0.09246247,-0.09023908,0.1496,0.1396,0.1125,0.2133,,
